"범죄별(1)","범죄별(2)",범죄별(3),발생지역별(1),2020
"형법범 (건)","재산범죄",장물,경남,47
"형법범 (건)","재산범죄",장물,제주,3
"형법범 (건)","재산범죄",사기,계,354154
"형법범 (건)","재산범죄",사기,서울,66999
"형법범 (건)","재산범죄",사기,부산,32872
"형법범 (건)","재산범죄",사기,대구,17472
"형법범 (건)","재산범죄",사기,인천,19807
"형법범 (건)","재산범죄",사기,광주,9771
"형법범 (건)","재산범죄",사기,대전,10645
"형법범 (건)","재산범죄",사기,울산,5245
"형법범 (건)","재산범죄",사기,세종,1537
"형법범 (건)","재산범죄",사기,경기,86768
"형법범 (건)","재산범죄",사기,강원,9063
"형법범 (건)","재산범죄",사기,충북,10005
"형법범 (건)","재산범죄",사기,충남,13408
"형법범 (건)","재산범죄",사기,전북,11265
"형법범 (건)","재산범죄",사기,전남,9959
"형법범 (건)","재산범죄",사기,경북,16678
"형법범 (건)","재산범죄",사기,경남,27268
"형법범 (건)","재산범죄",사기,제주,5392
"형법범 (건)","재산범죄",횡령,계,60539
"형법범 (건)","재산범죄",횡령,서울,16726
"형법범 (건)","재산범죄",횡령,부산,4097
"형법범 (건)","재산범죄",횡령,대구,2575
"형법범 (건)","재산범죄",횡령,인천,4320
"형법범 (건)","재산범죄",횡령,광주,1756
"형법범 (건)","재산범죄",횡령,대전,1399
"형법범 (건)","재산범죄",횡령,울산,458
"형법범 (건)","재산범죄",횡령,세종,203
"형법범 (건)","재산범죄",횡령,경기,15911
"형법범 (건)","재산범죄",횡령,강원,1128
"형법범 (건)","재산범죄",횡령,충북,1261
"형법범 (건)","재산범죄",횡령,충남,1907
"형법범 (건)","재산범죄",횡령,전북,1297
"형법범 (건)","재산범죄",횡령,전남,1718
"형법범 (건)","재산범죄",횡령,경북,1802
"형법범 (건)","재산범죄",횡령,경남,3102
"형법범 (건)","재산범죄",횡령,제주,879
"형법범 (건)","재산범죄",배임,계,5178
"형법범 (건)","재산범죄",배임,서울,1283
"형법범 (건)","재산범죄",배임,부산,408
"형법범 (건)","재산범죄",배임,대구,190
"형법범 (건)","재산범죄",배임,인천,206
"형법범 (건)","재산범죄",배임,광주,163
"형법범 (건)","재산범죄",배임,대전,120
"형법범 (건)","재산범죄",배임,울산,94
"형법범 (건)","재산범죄",배임,세종,29
"형법범 (건)","재산범죄",배임,경기,1187
"형법범 (건)","재산범죄",배임,강원,136
"형법범 (건)","재산범죄",배임,충북,134
"형법범 (건)","재산범죄",배임,충남,217
"형법범 (건)","재산범죄",배임,전북,160
"형법범 (건)","재산범죄",배임,전남,189
"형법범 (건)","재산범죄",배임,경북,181
"형법범 (건)","재산범죄",배임,경남,392
"형법범 (건)","재산범죄",배임,제주,89
