"죄종별","범죄발생지별","항목","단위","2016 년","2017 년","2018 년","2019 년","2020 년",
"계","진주시","범죄건수[건]","건","11177","10238","8961","9107","10146",
"계","창원시","범죄건수[건]","건","35928","32654","28025","30027","30522",
"계","통영시","범죄건수[건]","건","7602","5613","6276","7163","5572",
"계","서귀포시","범죄건수[건]","건","9820","8385","7640","7483","8168",
"계","제주시","범죄건수[건]","건","27065","24885","21790","20111","20484",
"계","기타도시","범죄건수[건]","건","6673","3772","7769","12632","19592",
"계","도시이외","범죄건수[건]","건","113760","99169","100594","105501","104133",
"강력범죄","계","범죄건수[건]","건","25765","27274","26787","26476","24332",
"강력범죄","서울","범죄건수[건]","건","6683","7474","6974","6977","6246",
"강력범죄","부산","범죄건수[건]","건","1630","1936","1712","1716","1593",
"강력범죄","대구","범죄건수[건]","건","1028","999","1130","1095","917",
"강력범죄","인천","범죄건수[건]","건","1817","1880","1743","1749","1524",
"강력범죄","광주","범죄건수[건]","건","796","803","792","753","629",
"강력범죄","대전","범죄건수[건]","건","724","799","848","802","732",
"강력범죄","울산","범죄건수[건]","건","523","485","496","516","502",
"강력범죄","세종","범죄건수[건]","건","58","84","106","68","91",
"강력범죄","고양시","범죄건수[건]","건","382","391","400","381","341",
"강력범죄","과천시","범죄건수[건]","건","25","29","21","20","19",
"강력범죄","광명시","범죄건수[건]","건","143","116","144","137","119",
"강력범죄","광주시","범죄건수[건]","건","104","116","103","102","87",
"강력범죄","구리시","범죄건수[건]","건","136","136","109","118","87",
"강력범죄","군포시","범죄건수[건]","건","96","119","89","92","99",
"강력범죄","김포시","범죄건수[건]","건","134","129","124","134","143",
"강력범죄","남양주시","범죄건수[건]","건","266","238","241","241","202",
"강력범죄","동두천시","범죄건수[건]","건","53","47","62","65","62",
"강력범죄","부천시","범죄건수[건]","건","530","478","460","497","469",
"강력범죄","성남시","범죄건수[건]","건","525","461","487","436","415",
"강력범죄","수원시","범죄건수[건]","건","654","672","637","629","620",
"강력범죄","시흥시","범죄건수[건]","건","221","243","254","260","273",
"강력범죄","안산시","범죄건수[건]","건","491","482","427","416","396",
"강력범죄","안성시","범죄건수[건]","건","86","89","83","86","93",
"강력범죄","안양시","범죄건수[건]","건","298","323","277","234","250",
"강력범죄","양주시","범죄건수[건]","건","71","62","85","82","94",
"강력범죄","여주시","범죄건수[건]","건","70","61","66","75","65",
"강력범죄","오산시","범죄건수[건]","건","103","131","97","133","112",
"강력범죄","용인시","범죄건수[건]","건","267","303","302","300","230",
